PatentNumber,CitedByOthers,CitesOthers,TotalDegree,GlobalEfficiency,SubgraphEfficiency,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,ComponentSize,Connectivity
US10022435-B2,13,4,17,0.03902327472503229,0.33506350684971675,0.00021254982499144276,0,0.15441176470588236,114,0.3266
US10709779-B2,6,12,18,0.03902327472503229,0.33506350684971675,0.00033524904214559396,0,0.32679738562091504,114,0.3266
EP3981437-A1,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US10682426-B2,1,0,1,0.03902327472503229,1.0,0.0,0,0.0,2,0.0057
US11369694-B2,0,1,1,0.03902327472503229,1.0,0.0,0,0.0,2,0.0057
US11406703-B2,5,12,17,0.03902327472503229,0.33506350684971675,3.312464805061446e-05,0,0.7720588235294118,114,0.3266
US10738355-B2,1,4,5,0.03902327472503229,0.33506350684971675,8.281162012653616e-06,0,0.3,114,0.3266
US11248264-B2,0,4,4,0.03902327472503229,0.33506350684971675,0.0,0,0.5,114,0.3266
CN109152830-A,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
CN109152830-B,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
CN105517569-A,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US9522236-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US10117994-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US10513703-B2,0,4,4,0.03902327472503229,0.7202380952380955,0.0,0,0.5,8,0.0229
WO2011015347-A1,7,1,8,0.03902327472503229,0.33506350684971675,5.38275530822485e-05,0,0.42857142857142855,114,0.3266
US9295717-B2,1,1,2,0.03902327472503229,0.33506350684971675,4.140581006326808e-06,0,0.0,114,0.3266
US11779659-B2,0,22,22,0.03902327472503229,0.33506350684971675,0.0,0,0.16883116883116883,114,0.3266
CN108291230-A,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US10155031-B2,0,2,2,0.03902327472503229,0.33506350684971675,0.0,0,0.0,114,0.3266
EP3473267-A1,2,0,2,0.03902327472503229,0.33506350684971675,0.0,0,1.0,114,0.3266
US9492620-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US9345841-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
EP3292873-A1,2,0,2,0.03902327472503229,0.33506350684971675,0.0,0,0.0,114,0.3266
EP3292873-B1,1,0,1,0.03902327472503229,0.33506350684971675,0.0,0,0.0,114,0.3266
EP3578200-A1,1,0,1,0.03902327472503229,0.33506350684971675,0.0,0,0.0,114,0.3266
US11014987-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US11242392-B2,0,1,1,0.03902327472503229,1.0,0.0,0,0.0,2,0.0057
US11130783-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US9364617-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US10675408-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
